text,intent,entities
லாபி இடத்தில் பதிவு நிறுத்து,recording,action=stop;location=லாபி
Start recording in lobby,recording,action=start;location=lobby
முகப்பு தோட்டம் இடத்தில் பதிவு தொடங்கு,recording,action=start;location=முகப்பு தோட்டம்
Start recording in parking,recording,action=start;location=parking
லாபி இடத்தில் பதிவு தொடங்கு,recording,action=start;location=லாபி
Start recording in lobby,recording,action=start;location=lobby
முன்னணி மாளிகை இடத்தில் பதிவு தொடங்கு,recording,action=start;location=முன்னணி மாளிகை
Start recording in garden,recording,action=start;location=garden
மெயின் ஹால் இடத்தில் பதிவு தொடங்கு,recording,action=start;location=மெயின் ஹால்
Start recording in lobby,recording,action=start;location=lobby
முன்னணி மாளிகை இடத்தில் பதிவு தொடங்கு,recording,action=start;location=முன்னணி மாளிகை
Start recording in lobby,recording,action=start;location=lobby
முகப்பு தோட்டம் இடத்தில் பதிவு தொடங்கு,recording,action=start;location=முகப்பு தோட்டம்
Start recording in front building,recording,action=start;location=front building
லாபி இடத்தில் பதிவு தொடங்கு,recording,action=start;location=லாபி
